#Processos distribuídos e redistribuídos por OJ no 1º grau  detalhado
#Data Final: 25/07/2026; Indicador de Distribuição: NÃO PREENCHIDO; Órgão Julgador: NÃO PREENCHIDO; Município: NÃO PREENCHIDO; Data Inicial: 25/07/2026; Classe Processual: NÃO PREENCHIDO

#Total de registros: 23
#Relatório gerado em: 27 de jul. de 2026 10:47:52

#Processo;Indicador;Municipío Sede;Órgão Julgador;Classe Judicial;Data
0000874-11.2026.5.12.0035;Recebido Por Distribuição - Sorteio;FLORIANOPOLIS;5ª VARA DO TRABALHO DE FLORIANÓPOLIS;Ação Trabalhista - Rito Ordinário;25/07/2026 00:27:08
0001907-70.2026.5.12.0056;Recebido Por Distribuição - Sorteio;NAVEGANTES;VARA DO TRABALHO DE NAVEGANTES;Ação Trabalhista - Rito Sumaríssimo;25/07/2026 00:29:55
0002513-80.2026.5.12.0062;Recebido Por Distribuição - Sorteio;ITAPEMA;VARA DO TRABALHO DE ITAPEMA;Ação Trabalhista - Rito Sumaríssimo;25/07/2026 00:44:21
0000943-70.2026.5.12.0026;Recebido Por Distribuição - Sorteio;FLORIANOPOLIS;3ª VARA DO TRABALHO DE FLORIANÓPOLIS;Ação Trabalhista - Rito Sumaríssimo;25/07/2026 01:12:56
0001835-12.2026.5.12.0015;Recebido Por Distribuição - Sorteio;SAO MIGUEL DO OESTE;VARA DO TRABALHO DE SÃO MIGUEL DO OESTE;Ação Trabalhista - Rito Ordinário;25/07/2026 01:15:41
0001355-43.2026.5.12.0012;Recebido Por Distribuição - Sorteio;JOACABA;VARA DO TRABALHO DE JOAÇABA;Ação Trabalhista - Rito Ordinário;25/07/2026 09:12:06
0001261-38.2026.5.12.0031;Recebido Por Distribuição - Outros;SAO JOSE;1ª VARA DO TRABALHO SÃO JOSÉ;Ação Trabalhista - Rito Sumaríssimo;25/07/2026 09:43:39
0001466-48.2026.5.12.0005;Recebido Por Distribuição - Sorteio;ITAJAI;1ª VARA DO TRABALHO DE ITAJAÍ;Ação Trabalhista - Rito Sumaríssimo;25/07/2026 10:31:17
0001043-71.2026.5.12.0043;Recebido Por Distribuição - Sorteio;IMBITUBA;VARA DO TRABALHO DE IMBITUBA;Ação Trabalhista - Rito Ordinário;25/07/2026 11:42:51
0000868-53.2026.5.12.0051;Recebido Por Distribuição - Outros;BLUMENAU;4ª VARA DO TRABALHO DE BLUMENAU;Ação Trabalhista - Rito Ordinário;25/07/2026 13:28:36
0000869-38.2026.5.12.0051;Recebido Por Distribuição - Outros;BLUMENAU;4ª VARA DO TRABALHO DE BLUMENAU;Embargos de Terceiro Cível;25/07/2026 14:19:29
0000990-20.2026.5.12.0034;Recebido Por Distribuição - Sorteio;FLORIANOPOLIS;4ª VARA DO TRABALHO DE FLORIANÓPOLIS;Ação Trabalhista - Rito Sumaríssimo;25/07/2026 14:22:50
0001652-33.2026.5.12.0050;Recebido Por Distribuição - Outros;JOINVILLE;5ª VARA DO TRABALHO DE JOINVILLE;Ação Trabalhista - Rito Sumaríssimo;25/07/2026 15:47:24
0001215-85.2026.5.12.0019;Recebido Por Distribuição - Sorteio;JARAGUA DO SUL;1ª VARA DO TRABALHO DE JARAGUÁ DO SUL;Ação Trabalhista - Rito Ordinário;25/07/2026 15:51:21
0001836-94.2026.5.12.0015;Recebido Por Distribuição - Sorteio;SAO MIGUEL DO OESTE;VARA DO TRABALHO DE SÃO MIGUEL DO OESTE;Ação Trabalhista - Rito Ordinário;25/07/2026 16:40:58
0000624-54.2026.5.12.0042;Recebido Por Distribuição - Sorteio;CURITIBANOS;VARA DO TRABALHO DE CURITIBANOS;Ação Trabalhista - Rito Ordinário;25/07/2026 17:19:21
0000921-48.2026.5.12.0014;Recebido Por Distribuição - Sorteio;FLORIANOPOLIS;2ª VARA DO TRABALHO DE FLORIANÓPOLIS;Ação Trabalhista - Rito Sumaríssimo;25/07/2026 19:58:48
0000850-02.2026.5.12.0061;Recebido Por Distribuição - Sorteio;BRUSQUE;2ª VARA DO TRABALHO DE BRUSQUE;Ação Trabalhista - Rito Ordinário;25/07/2026 20:38:00
0001277-08.2026.5.12.0058;Recebido Por Distribuição - Sorteio;CHAPECO;4ª VARA DO TRABALHO DE CHAPECÓ;Ação Trabalhista - Rito Ordinário;25/07/2026 20:48:52
0001837-79.2026.5.12.0015;Recebido Por Distribuição - Sorteio;SAO MIGUEL DO OESTE;VARA DO TRABALHO DE SÃO MIGUEL DO OESTE;Ação Trabalhista - Rito Sumaríssimo;25/07/2026 20:56:44
0000625-39.2026.5.12.0042;Recebido Por Distribuição - Sorteio;CURITIBANOS;VARA DO TRABALHO DE CURITIBANOS;Ação Trabalhista - Rito Ordinário;25/07/2026 22:21:13
0001777-71.2026.5.12.0059;Recebido Por Distribuição - Sorteio;PALHOCA;VARA DO TRABALHO DE PALHOÇA;Mandado de Segurança Cível;25/07/2026 23:16:44
0001778-56.2026.5.12.0059;Recebido Por Distribuição - Sorteio;PALHOCA;VARA DO TRABALHO DE PALHOÇA;Mandado de Segurança Cível;25/07/2026 23:26:32
