#Processos distribuídos e redistribuídos por OJ no 1º grau  detalhado
#Data Final: 13/08/2026; Indicador de Distribuição: NÃO PREENCHIDO; Órgão Julgador: NÃO PREENCHIDO; Município: NÃO PREENCHIDO; Data Inicial: 13/08/2026; Classe Processual: NÃO PREENCHIDO

#Total de registros: 591
#Relatório gerado em: 14 de ago. de 2026 18:54:01

#Processo;Indicador;Municipío Sede;Órgão Julgador;Classe Judicial;Data
0001340-41.2026.5.12.0023;Recebido Por Distribuição - Sorteio;ARARANGUA;VARA DO TRABALHO DE ARARANGUÁ;Ação Trabalhista - Rito Ordinário;13/08/2026 00:29:26
0001696-39.2026.5.12.0022;Recebido Por Distribuição - Sorteio;ITAJAI;2ª VARA DO TRABALHO DE ITAJAÍ;Ação Trabalhista - Rito Ordinário;13/08/2026 00:40:09
0001041-91.2026.5.12.0014;Recebido Por Distribuição - Sorteio;FLORIANOPOLIS;2ª VARA DO TRABALHO DE FLORIANÓPOLIS;Ação Trabalhista - Rito Sumaríssimo;13/08/2026 00:43:27
0000976-66.2026.5.12.0024;Recebido Por Distribuição - Sorteio;SAO BENTO DO SUL;VARA DO TRABALHO DE SÃO BENTO DO SUL;Ação Trabalhista - Rito Ordinário;13/08/2026 01:46:39
0001365-46.2026.5.12.0058;Recebido Por Distribuição - Sorteio;CHAPECO;4ª VARA DO TRABALHO DE CHAPECÓ;Ação Trabalhista - Rito Sumaríssimo;13/08/2026 06:43:43
0001366-31.2026.5.12.0058;Recebido Por Distribuição - Outros;CHAPECO;4ª VARA DO TRABALHO DE CHAPECÓ;Ação Trabalhista - Rito Ordinário;13/08/2026 07:17:42
0000980-58.2026.5.12.0039;Recebido Por Distribuição - Sorteio;BLUMENAU;3ª VARA DO TRABALHO DE BLUMENAU;Ação Trabalhista - Rito Sumaríssimo;13/08/2026 07:28:09
0001455-17.2026.5.12.0038;Recebido Por Distribuição - Outros;CHAPECO;2ª VARA DO TRABALHO DE CHAPECÓ;Ação Trabalhista - Rito Sumaríssimo;13/08/2026 07:52:38
0001456-02.2026.5.12.0038;Recebido Por Distribuição - Outros;CHAPECO;2ª VARA DO TRABALHO DE CHAPECÓ;Ação Trabalhista - Rito Ordinário;13/08/2026 08:34:00
0001933-18.2026.5.12.0008;Recebido Por Distribuição - Sorteio;CONCORDIA;VARA DO TRABALHO DE CONCÓRDIA;Ação Trabalhista - Rito Ordinário;13/08/2026 08:34:34
