#Processos distribuídos e redistribuídos por OJ no 1º grau  detalhado
#Data Final: 30/07/2026; Indicador de Distribuição: NÃO PREENCHIDO; Órgão Julgador: NÃO PREENCHIDO; Município: NÃO PREENCHIDO; Data Inicial: 30/07/2026; Classe Processual: NÃO PREENCHIDO

#Total de registros: 1602
#Relatório gerado em: 3 de ago. de 2026 13:57:02

#Processo;Indicador;Municipío Sede;Órgão Julgador;Classe Judicial;Data
0001565-64.2026.5.12.0022;Recebido Por Distribuição - Sorteio;ITAJAI;2ª VARA DO TRABALHO DE ITAJAÍ;Ação Trabalhista - Rito Ordinário;30/07/2026 00:00:31
0001680-98.2026.5.12.0050;Recebido Por Distribuição - Sorteio;JOINVILLE;5ª VARA DO TRABALHO DE JOINVILLE;Ação Trabalhista - Rito Sumaríssimo;30/07/2026 00:48:19
0001659-91.2026.5.12.0028;Recebido Por Distribuição - Sorteio;JOINVILLE;3ª VARA DO TRABALHO DE JOINVILLE;Ação Trabalhista - Rito Ordinário;30/07/2026 07:21:27
0001268-63.2026.5.12.0020;Recebido Por Distribuição - Sorteio;VIDEIRA;VARA DO TRABALHO DE VIDEIRA;Ação Trabalhista - Rito Ordinário;30/07/2026 07:50:35
0000886-27.2026.5.12.0002;Recebido Por Distribuição - Sorteio;BLUMENAU;1ª VARA DO TRABALHO DE BLUMENAU;Ação Trabalhista - Rito Ordinário;30/07/2026 07:58:40
0001266-79.2026.5.12.0057;Recebido Por Redistribuição - Sorteio;CHAPECO;4ª VARA DO TRABALHO DE CHAPECÓ;Ação Trabalhista - Rito Ordinário;30/07/2026 08:19:38
0001266-79.2026.5.12.0057;Restituído Por Redistribuição;CHAPECO;3ª VARA DO TRABALHO DE CHAPECÓ;Ação Trabalhista - Rito Ordinário;30/07/2026 08:19:38
0001268-49.2026.5.12.0057;Recebido Por Redistribuição - Sorteio;CHAPECO;4ª VARA DO TRABALHO DE CHAPECÓ;Carta de Ordem Cível;30/07/2026 08:19:51
0001268-49.2026.5.12.0057;Restituído Por Redistribuição;CHAPECO;3ª VARA DO TRABALHO DE CHAPECÓ;Carta de Ordem Cível;30/07/2026 08:19:51
0000862-88.2026.5.12.0037;Recebido Por Distribuição - Sorteio;FLORIANOPOLIS;7ª VARA DO TRABALHO DE FLORIANÓPOLIS;Carta de Ordem Cível;30/07/2026 08:25:55
0001272-86.2026.5.12.0057;Recebido Por Distribuição - Sorteio;CHAPECO;3ª VARA DO TRABALHO DE CHAPECÓ;Ação Trabalhista - Rito Sumaríssimo;30/07/2026 08:35:22
0002045-71.2025.5.12.0056;Recebido Por Redistribuição - Outros;ANTONIO CARLOS;NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA;Ação Trabalhista - Rito Ordinário;30/07/2026 08:47:33
0002045-71.2025.5.12.0056;Restituído Por Redistribuição;NAVEGANTES;VARA DO TRABALHO DE NAVEGANTES;Ação Trabalhista - Rito Ordinário;30/07/2026 08:47:33
0001297-08.2026.5.12.0055;Recebido Por Distribuição - Sorteio;CRICIUMA;3ª VARA DO TRABALHO DE CRICIÚMA;Ação Trabalhista - Rito Sumaríssimo;30/07/2026 08:50:45
0001387-46.2026.5.12.0045;Recebido Por Distribuição - Sorteio;BALNEARIO CAMBORIU;2ª VARA DO TRABALHO DE BALNEÁRIO CAMBORIÚ;Ação Trabalhista - Rito Ordinário;30/07/2026 08:51:25
0000909-04.2026.5.12.0024;Recebido Por Distribuição - Sorteio;SAO BENTO DO SUL;VARA DO TRABALHO DE SÃO BENTO DO SUL;Ação Trabalhista - Rito Ordinário;30/07/2026 09:05:50
0001294-44.2026.5.12.0058;Recebido Por Distribuição - Sorteio;CHAPECO;4ª VARA DO TRABALHO DE CHAPECÓ;Ação Trabalhista - Rito Ordinário;30/07/2026 09:13:54
0000887-12.2026.5.12.0002;Recebido Por Distribuição - Sorteio;BLUMENAU;1ª VARA DO TRABALHO DE BLUMENAU;Ação Trabalhista - Rito Ordinário;30/07/2026 09:15:15
0001349-63.2026.5.12.0003;Recebido Por Distribuição - Sorteio;CRICIUMA;1ª VARA DO TRABALHO DE CRICIÚMA;Ação Trabalhista - Rito Ordinário;30/07/2026 09:22:31
0001248-51.2026.5.12.0027;Recebido Por Distribuição - Outros;CRICIUMA;2ª VARA DO TRABALHO DE CRICIÚMA;Ação Trabalhista - Rito Ordinário;30/07/2026 09:23:47
0001283-27.2026.5.12.0054;Recebido Por Distribuição - Outros;SAO JOSE;3ª VARA DO TRABALHO SÃO JOSÉ;Ação Trabalhista - Rito Ordinário;30/07/2026 09:27:49
0001284-12.2026.5.12.0054;Recebido Por Distribuição - Sorteio;SAO JOSE;3ª VARA DO TRABALHO SÃO JOSÉ;Ação Trabalhista - Rito Sumaríssimo;30/07/2026 09:28:25
0001610-84.2025.5.12.0028;Restituído Por Redistribuição;JOINVILLE;3ª VARA DO TRABALHO DE JOINVILLE;Ação Trabalhista - Rito Sumaríssimo;30/07/2026 09:29:51
0001610-84.2025.5.12.0028;Recebido Por Redistribuição - Outros;ANTONIO CARLOS;NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA;Ação Trabalhista - Rito Sumaríssimo;30/07/2026 09:29:51
0001660-76.2026.5.12.0028;Recebido Por Distribuição - Sorteio;JOINVILLE;3ª VARA DO TRABALHO DE JOINVILLE;Ação Trabalhista - Rito Sumaríssimo;30/07/2026 09:30:44
0002489-91.2025.5.12.0028;Recebido Por Redistribuição - Outros;ANTONIO CARLOS;NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA;Ação Trabalhista - Rito Sumaríssimo;30/07/2026 09:31:02
0002489-91.2025.5.12.0028;Restituído Por Redistribuição;JOINVILLE;3ª VARA DO TRABALHO DE JOINVILLE;Ação Trabalhista - Rito Sumaríssimo;30/07/2026 09:31:02
0001006-71.2026.5.12.0034;Recebido Por Distribuição - Outros;FLORIANOPOLIS;4ª VARA DO TRABALHO DE FLORIANÓPOLIS;Ação Trabalhista - Rito Ordinário;30/07/2026 09:38:39
