#Processos distribuídos e redistribuídos por OJ no 1º grau  detalhado
#Data Final: 18/07/2026; Indicador de Distribuição: NÃO PREENCHIDO; Órgão Julgador: NÃO PREENCHIDO; Município: NÃO PREENCHIDO; Data Inicial: 18/07/2026; Classe Processual: NÃO PREENCHIDO

#Total de registros: 54
#Relatório gerado em: 22 de jul. de 2026 19:56:35

#Processo;Indicador;Municipío Sede;Órgão Julgador;Classe Judicial;Data
0001190-60.2026.5.12.0023;Recebido Por Distribuição - Outros;ARARANGUA;VARA DO TRABALHO DE ARARANGUÁ;Cumprimento de sentença;18/07/2026 16:26:03
0000920-27.2026.5.12.0026;Recebido Por Distribuição - Sorteio;FLORIANOPOLIS;3ª VARA DO TRABALHO DE FLORIANÓPOLIS;Ação Trabalhista - Rito Sumaríssimo;18/07/2026 16:26:39
0001191-45.2026.5.12.0023;Recebido Por Distribuição - Outros;ARARANGUA;VARA DO TRABALHO DE ARARANGUÁ;Cumprimento de sentença;18/07/2026 16:36:33
0001192-30.2026.5.12.0023;Recebido Por Distribuição - Outros;ARARANGUA;VARA DO TRABALHO DE ARARANGUÁ;Cumprimento de sentença;18/07/2026 16:46:13
0001193-15.2026.5.12.0023;Recebido Por Distribuição - Outros;ARARANGUA;VARA DO TRABALHO DE ARARANGUÁ;Cumprimento de sentença;18/07/2026 16:57:38
0001703-22.2026.5.12.0025;Recebido Por Distribuição - Sorteio;XANXERE;VARA DO TRABALHO DE XANXERÊ;Ação Trabalhista - Rito Ordinário;18/07/2026 17:31:41
0001223-45.2026.5.12.0057;Recebido Por Distribuição - Sorteio;CHAPECO;3ª VARA DO TRABALHO DE CHAPECÓ;Ação Trabalhista - Rito Ordinário;18/07/2026 17:36:48
0001198-25.2026.5.12.0027;Recebido Por Distribuição - Sorteio;CRICIUMA;2ª VARA DO TRABALHO DE CRICIÚMA;Ação Trabalhista - Rito Ordinário;18/07/2026 18:35:57
0000857-08.2026.5.12.0024;Recebido Por Distribuição - Sorteio;SAO BENTO DO SUL;VARA DO TRABALHO DE SÃO BENTO DO SUL;Ação Trabalhista - Rito Ordinário;18/07/2026 18:43:58
0001238-89.2026.5.12.0032;Recebido Por Distribuição - Sorteio;SAO JOSE;2ª VARA DO TRABALHO SÃO JOSÉ;Ação Trabalhista - Rito Ordinário;18/07/2026 19:33:15
