unidade_cedente,unidade_destinataria,quantidade,participacao_pct
VARA DO TRABALHO DE SÃO MIGUEL DO OESTE,VARA DO TRABALHO DE FRAIBURGO,5,0.6765899864682002
4ª VARA DO TRABALHO DE CHAPECÓ,2ª VARA DO TRABALHO DE LAGES,5,0.6765899864682002
5ª VARA DO TRABALHO DE JOINVILLE,1ª VARA DO TRABALHO DE BRUSQUE,5,0.6765899864682002
2ª VARA DO TRABALHO DE JOINVILLE,2ª VARA DO TRABALHO DE BRUSQUE,5,0.6765899864682002
VARA DO TRABALHO DE PALHOÇA,VARA DO TRABALHO DE MAFRA,5,0.6765899864682002
VARA DO TRABALHO DE IMBITUBA,VARA DO TRABALHO DE FRAIBURGO,5,0.6765899864682002
VARA DO TRABALHO DE XANXERÊ,3ª VARA DO TRABALHO DE LAGES,5,0.6765899864682002
VARA DO TRABALHO DE ITAPEMA,1ª VARA DO TRABALHO DE LAGES,5,0.6765899864682002
4ª VARA DO TRABALHO DE CHAPECÓ,VARA DO TRABALHO DE CANOINHAS,5,0.6765899864682002
1ª VARA DO TRABALHO DE JOINVILLE,3ª VARA DO TRABALHO DE BLUMENAU,5,0.6765899864682002
5ª VARA DO TRABALHO DE JOINVILLE,VARA DO TRABALHO DE ARARANGUÁ,5,0.6765899864682002
4ª VARA DO TRABALHO DE CHAPECÓ,1ª VARA DO TRABALHO DE BLUMENAU,4,0.5412719891745602
1ª VARA DO TRABALHO DE JOINVILLE,2ª VARA DO TRABALHO DE TUBARÃO,4,0.5412719891745602
VARA DO TRABALHO DE NAVEGANTES,3ª VARA DO TRABALHO DE BLUMENAU,4,0.5412719891745602
VARA DO TRABALHO DE NAVEGANTES,VARA DO TRABALHO DE ARARANGUÁ,4,0.5412719891745602
VARA DO TRABALHO DE ITAPEMA,1ª VARA DO TRABALHO DE BLUMENAU,4,0.5412719891745602
VARA DO TRABALHO DE PALHOÇA,1ª VARA DO TRABALHO DE TUBARÃO,4,0.5412719891745602
1ª VARA DO TRABALHO DE JOINVILLE,4ª VARA DO TRABALHO DE BLUMENAU,4,0.5412719891745602
VARA DO TRABALHO DE PALHOÇA,1ª VARA DO TRABALHO DE BLUMENAU,4,0.5412719891745602
5ª VARA DO TRABALHO DE JOINVILLE,3ª VARA DO TRABALHO DE BLUMENAU,4,0.5412719891745602
VARA DO TRABALHO DE NAVEGANTES,VARA DO TRABALHO DE SÃO BENTO DO SUL,4,0.5412719891745602
VARA DO TRABALHO DE IMBITUBA,VARA DO TRABALHO DE MAFRA,4,0.5412719891745602
3ª VARA DO TRABALHO DE CHAPECÓ,3ª VARA DO TRABALHO DE LAGES,4,0.5412719891745602
3ª VARA DO TRABALHO DE CHAPECÓ,2ª VARA DO TRABALHO DE LAGES,4,0.5412719891745602
VARA DO TRABALHO DE ITAPEMA,1ª VARA DO TRABALHO DE BRUSQUE,4,0.5412719891745602
VARA DO TRABALHO DE XANXERÊ,VARA DO TRABALHO DE FRAIBURGO,4,0.5412719891745602
VARA DO TRABALHO DE XANXERÊ,3ª VARA DO TRABALHO DE BLUMENAU,4,0.5412719891745602
VARA DO TRABALHO DE ITAPEMA,1ª VARA DO TRABALHO DE TUBARÃO,4,0.5412719891745602
VARA DO TRABALHO DE ITAPEMA,2ª VARA DO TRABALHO DE BLUMENAU,4,0.5412719891745602
VARA DO TRABALHO DE IMBITUBA,2ª VARA DO TRABALHO DE LAGES,4,0.5412719891745602
2ª VARA DO TRABALHO DE JOINVILLE,1ª VARA DO TRABALHO DE LAGES,4,0.5412719891745602
VARA DO TRABALHO DE SÃO MIGUEL DO OESTE,4ª VARA DO TRABALHO DE BLUMENAU,4,0.5412719891745602
VARA DO TRABALHO DE ITAPEMA,4ª VARA DO TRABALHO DE BLUMENAU,4,0.5412719891745602
2ª VARA DO TRABALHO DE JOINVILLE,4ª VARA DO TRABALHO DE BLUMENAU,4,0.5412719891745602
5ª VARA DO TRABALHO DE JOINVILLE,VARA DO TRABALHO DE MAFRA,4,0.5412719891745602
5ª VARA DO TRABALHO DE JOINVILLE,VARA DO TRABALHO DE CURITIBANOS,4,0.5412719891745602
5ª VARA DO TRABALHO DE JOINVILLE,2ª VARA DO TRABALHO DE BRUSQUE,3,0.40595399188092013
VARA DO TRABALHO DE NAVEGANTES,2ª VARA DO TRABALHO DE TUBARÃO,3,0.40595399188092013
VARA DO TRABALHO DE NAVEGANTES,1ª VARA DO TRABALHO DE TUBARÃO,3,0.40595399188092013
VARA DO TRABALHO DE ITAPEMA,2ª VARA DO TRABALHO DE BRUSQUE,3,0.40595399188092013
VARA DO TRABALHO DE ITAPEMA,VARA DO TRABALHO DE CANOINHAS,3,0.40595399188092013
VARA DO TRABALHO DE NAVEGANTES,1ª VARA DO TRABALHO DE BLUMENAU,3,0.40595399188092013
5ª VARA DO TRABALHO DE JOINVILLE,VARA DO TRABALHO DE CANOINHAS,3,0.40595399188092013
