unidade_norm,unidade_original,classificacao,quantidade_magistrados,quantidade,percentual_total,diferenca_absoluta_media,diferenca_percentual_media,processos_por_magistrado,diferenca_absoluta_media_magistrado,diferenca_percentual_media_magistrado,cenario
2 VARA DO TRABALHO DE JOINVILLE,2ª VARA DO TRABALHO DE JOINVILLE,CEDENTE,2.0,220,1.9178798709789904,28.816666666666663,15.072792258739428,110.0,-3.574257425742573,-3.147066515560979,COM_EQUALIZACAO
2 VARA DO TRABALHO DE LAGES,2ª VARA DO TRABALHO DE LAGES,DESTINATARIA,2.0,169,1.4732804463429516,-22.183333333333337,-11.603173219422894,84.5,-29.074257425742573,-25.59933745968093,COM_EQUALIZACAO
2 VARA DO TRABALHO DE RIO DO SUL,2ª VARA DO TRABALHO DE RIO DO SUL,NEUTRA,2.0,190,1.6563507976636735,-1.1833333333333371,-0.6189521401795852,95.0,-18.574257425742573,-16.354284717984484,COM_EQUALIZACAO
2 VARA DO TRABALHO DE TUBARAO,2ª VARA DO TRABALHO DE TUBARÃO,DESTINATARIA,2.0,147,1.2814924592450527,-44.18333333333334,-23.110452445296836,73.5,-40.07425742574257,-35.28463080812483,COM_EQUALIZACAO
2 VARA DO TRABALHO SAO JOSE,2ª VARA DO TRABALHO SÃO JOSÉ,NEUTRA,2.0,223,1.9440327783105222,31.816666666666663,16.64196669863133,111.5,-2.074257425742573,-1.8263446953186286,COM_EQUALIZACAO
3 VARA DO TRABALHO DE BLUMENAU,3ª VARA DO TRABALHO DE BLUMENAU,DESTINATARIA,2.0,213,1.8568564205387499,21.816666666666663,11.411385232324992,106.5,-7.074257425742573,-6.22875076279313,COM_EQUALIZACAO
3 VARA DO TRABALHO DE CHAPECO,3ª VARA DO TRABALHO DE CHAPECÓ,CEDENTE,1.0,153,1.333798273908116,-38.18333333333334,-19.972103565513034,153.0,39.42574257425743,34.71362566471973,COM_EQUALIZACAO
3 VARA DO TRABALHO DE CRICIUMA,3ª VARA DO TRABALHO DE CRICIÚMA,NEUTRA,2.0,249,2.17069130851713,57.81666666666666,30.241478511027807,124.5,10.925742574257427,9.619911080115074,COM_EQUALIZACAO
3 VARA DO TRABALHO DE FLORIANOPOLIS,3ª VARA DO TRABALHO DE FLORIANÓPOLIS,NEUTRA,1.0,116,1.0112457501525587,-75.18333333333334,-39.32525499084648,116.0,2.425742574257427,2.1358207654084227,COM_EQUALIZACAO
3 VARA DO TRABALHO DE ITAJAI,3ª VARA DO TRABALHO DE ITAJAÍ,NEUTRA,2.0,285,2.4845261964955108,93.81666666666666,49.07157178973062,142.5,28.925742574257427,25.468572923023274,COM_EQUALIZACAO
3 VARA DO TRABALHO DE JOINVILLE,3ª VARA DO TRABALHO DE JOINVILLE,CEDENTE,2.0,227,1.978903321419231,35.81666666666666,18.734199285153863,113.5,-0.07425742574257299,-0.06538226832882811,COM_EQUALIZACAO
3 VARA DO TRABALHO DE LAGES,3ª VARA DO TRABALHO DE LAGES,DESTINATARIA,2.0,180,1.5691744398919012,-11.183333333333337,-5.849533606485923,90.0,-23.574257425742573,-20.756690785458982,COM_EQUALIZACAO
3 VARA DO TRABALHO SAO JOSE,3ª VARA DO TRABALHO SÃO JOSÉ,NEUTRA,2.0,217,1.891726963647459,25.816666666666663,13.503617818847527,108.5,-5.074257425742573,-4.467788335803329,COM_EQUALIZACAO
4 VARA DO TRABALHO DE BLUMENAU,4ª VARA DO TRABALHO DE BLUMENAU,DESTINATARIA,2.0,209,1.821985877430041,17.816666666666663,9.319152645802456,104.5,-9.074257425742573,-7.989713189782929,COM_EQUALIZACAO
4 VARA DO TRABALHO DE CHAPECO,4ª VARA DO TRABALHO DE CHAPECÓ,CEDENTE,1.0,143,1.2466219161363439,-48.18333333333334,-25.20268503181937,143.0,29.425742574257427,25.90881352977073,COM_EQUALIZACAO
4 VARA DO TRABALHO DE FLORIANOPOLIS,4ª VARA DO TRABALHO DE FLORIANÓPOLIS,NEUTRA,1.0,114,0.9938104785982042,-77.18333333333334,-40.37137128410775,114.0,0.425742574257427,0.374858338418622,COM_EQUALIZACAO
4 VARA DO TRABALHO DE JOINVILLE,4ª VARA DO TRABALHO DE JOINVILLE,CEDENTE,2.0,221,1.9265975067561676,29.816666666666663,15.595850405370063,110.5,-3.074257425742573,-2.7068259088135287,COM_EQUALIZACAO
5 VARA DO TRABALHO DE FLORIANOPOLIS,5ª VARA DO TRABALHO DE FLORIANÓPOLIS,NEUTRA,2.0,189,1.6476331618864963,-2.183333333333337,-1.142010286810219,94.5,-19.074257425742573,-16.794525324731932,COM_EQUALIZACAO
5 VARA DO TRABALHO DE JOINVILLE,5ª VARA DO TRABALHO DE JOINVILLE,CEDENTE,2.0,222,1.9353151425333448,30.816666666666663,16.118908552000697,111.0,-2.574257425742573,-2.2665853020660784,COM_EQUALIZACAO
6 VARA DO TRABALHO DE FLORIANOPOLIS,6ª VARA DO TRABALHO DE FLORIANÓPOLIS,NEUTRA,2.0,199,1.734809519658269,7.816666666666663,4.088571179496118,99.5,-14.074257425742573,-12.39211925725743,COM_EQUALIZACAO
7 VARA DO TRABALHO DE FLORIANOPOLIS,7ª VARA DO TRABALHO DE FLORIANÓPOLIS,NEUTRA,1.0,115,1.0025281143753813,-76.18333333333334,-39.84831313747711,115.0,1.425742574257427,1.2553395519135222,COM_EQUALIZACAO
VARA DO TRABALHO DE ARARANGUA,VARA DO TRABALHO DE ARARANGUÁ,DESTINATARIA,2.0,265,2.310173480951966,73.81666666666666,38.610408857117946,132.5,18.925742574257427,16.663760788074274,COM_EQUALIZACAO
VARA DO TRABALHO DE CACADOR,VARA DO TRABALHO DE CAÇADOR,NEUTRA,1.0,157,1.368668817016825,-34.18333333333334,-17.8798709789905,157.0,43.42574257425743,38.23555051869933,COM_EQUALIZACAO
